측정시간,행정동,방문자수,구,공원명
2025-04-01 00:10:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 00:10:00,Seongsu1ga1(il)-dong,2,성동구,서울숲공원
2025-04-01 00:16:00,Nokbeon-dong,1,은평구,은평평화공원
2025-04-01 00:16:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 00:17:00,Beon3(sam)-dong,5,강북구,북서울꿈의숲
2025-04-01 00:20:00,Amsa3(sam)-dong,1,강동구,암사생태공원
2025-04-01 00:20:00,Seongsu1ga1(il)-dong,1,성동구,서울숲공원
2025-04-01 00:26:00,Nokbeon-dong,0,은평구,은평평화공원
2025-04-01 00:26:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 00:27:00,Beon3(sam)-dong,0,강북구,북서울꿈의숲
2025-04-01 00:30:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 00:30:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 00:36:00,Nokbeon-dong,1,은평구,은평평화공원
2025-04-01 00:36:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 00:37:00,Beon3(sam)-dong,0,강북구,북서울꿈의숲
2025-04-01 00:40:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 00:40:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 00:46:00,Nokbeon-dong,2,은평구,은평평화공원
2025-04-01 00:46:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 00:47:00,Beon3(sam)-dong,0,강북구,북서울꿈의숲
2025-04-01 00:56:00,Nokbeon-dong,3,은평구,은평평화공원
2025-04-01 00:56:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 00:57:00,Beon3(sam)-dong,0,강북구,북서울꿈의숲
2025-04-01 01:00:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 01:00:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 01:06:00,Nokbeon-dong,0,은평구,은평평화공원
2025-04-01 01:06:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 01:07:00,Beon3(sam)-dong,2,강북구,북서울꿈의숲
2025-04-01 01:10:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 01:10:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 01:16:00,Nokbeon-dong,1,은평구,은평평화공원
2025-04-01 01:16:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 01:17:00,Beon3(sam)-dong,1,강북구,북서울꿈의숲
2025-04-01 01:20:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 01:20:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 01:26:00,Nokbeon-dong,0,은평구,은평평화공원
2025-04-01 01:26:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 01:27:00,Beon3(sam)-dong,2,강북구,북서울꿈의숲
2025-04-01 01:30:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 01:30:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 01:36:00,Nokbeon-dong,0,은평구,은평평화공원
2025-04-01 01:36:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 01:37:00,Beon3(sam)-dong,1,강북구,북서울꿈의숲
2025-04-01 01:40:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 01:40:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 01:46:00,Nokbeon-dong,0,은평구,은평평화공원
2025-04-01 01:46:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 01:47:00,Beon3(sam)-dong,1,강북구,북서울꿈의숲
2025-04-01 01:50:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 01:50:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 01:56:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 01:56:00,Nokbeon-dong,2,은평구,은평평화공원
2025-04-01 01:56:00,Nokbeon-dong,2,은평구,은평평화공원
2025-04-01 01:56:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 02:00:00,Seongsu1ga1(il)-dong,0,성동구,서울숲공원
2025-04-01 02:00:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 02:06:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 02:06:00,Nokbeon-dong,0,은평구,은평평화공원
2025-04-01 02:07:00,Beon3(sam)-dong,0,강북구,북서울꿈의숲
2025-04-01 02:10:00,Seongsu1ga1(il)-dong,2,성동구,서울숲공원
2025-04-01 02:10:00,Amsa3(sam)-dong,0,강동구,암사생태공원
2025-04-01 02:16:00,Cheonyeon-dong,0,서대문구,서대문독립공원
2025-04-01 02:16:00,Nokbeon-dong,0,은평구,은평평화공원
